,POS,TEAM,MATCHES,POINTS,RATING
0,1,IndiaIND,30,"8,093",270
1,2,EnglandENG,28,"7,432",265
2,3,PakistanPAK,30,"7,826",261
3,4,South AfricaSA,25,"6,336",253
4,5,AustraliaAUS,33,"8,270",251
5,6,New ZealandNZ,28,"6,996",250
6,7,West IndiesWI,36,"8,622",240
7,8,BangladeshBAN,33,"7,680",233
8,9,Sri LankaSL,33,"7,606",230
9,10,AfghanistanAFG,14,"3,167",226
10,11,UAEUAE,21,"4,030",192
11,12,ZimbabweZIM,28,"5,278",189
12,13,NepalNEP,25,"4,624",185
13,14,IrelandIRE,35,"6,439",184
14,15,NamibiaNAM,29,"5,321",183
15,16,ScotlandSCO,19,"3,475",183
16,17,OmanOMA,19,"3,238",170
17,18,NetherlandsNED,17,"2,841",167
18,19,Papua New GuineaPNG,17,"2,575",151
19,20,SingaporeSIN,8,"1,194",149
20,21,CanadaCAN,17,"2,176",128
21,22,JerseyJSY,15,"1,914",128
22,23,QatarQAT,13,"1,643",126
23,24,Hong KongHK,10,"1,155",116
24,25,UgandaUGA,26,"2,952",114
25,26,United StatesUSA,11,"1,225",111
26,27,BahrainBRN,11,"1,153",105
27,28,KuwaitKUW,10,"1,044",104
28,29,ItalyITA,10,"1,015",102
29,30,KenyaKEN,17,"1,694",100
30,31,MalaysiaMAS,18,"1,716",95
31,32,Saudi ArabiaSDA,6,562,94
32,33,TanzaniaTAN,10,895,90
33,34,BermudaBRM,12,"1,053",88
34,35,GermanyGER,25,"2,124",85
35,36,SpainESP,12,"1,006",84
36,37,RomaniaROM,13,956,74
37,38,GuernseyGSY,9,653,73
38,39,DenmarkDEN,13,901,69
39,40,Cayman IslandsCAY,8,529,66
40,41,NigeriaNGR,23,"1,482",64
41,42,BotswanaBOT,8,502,63
42,43,BelgiumBEL,12,670,56
43,44,VanuatuVAN,5,270,54
44,45,PortugalPOR,6,322,54
45,46,SwedenSWE,7,373,53
46,47,AustriaAUT,10,528,53
47,48,NorwayNOR,12,632,53
48,49,ArgentinaARG,9,435,48
49,50,MalawiMAW,9,408,45
50,51,GhanaGHA,13,541,42
51,52,FinlandFIN,7,287,41
52,53,LuxembourgLUX,12,481,40
53,54,Sierra LeoneSRL,10,331,33
54,55,MaltaMLT,20,610,31
55,56,Czech RepublicCZE,13,342,26
56,57,CyprusCYP,6,154,26
57,58,BahamasBAH,11,260,24
58,59,BelizeBIZ,6,132,22
59,60,PanamaPAN,6,125,21
60,61,RwandaRWA,11,206,19
61,62,GreeceGRE,5,86,17
62,63,ThailandTHA,4,59,15
63,64,BulgariaBUL,16,167,10
64,65,SeychellesSEY,6,54,9
65,66,MaldivesMDV,9,51,6
66,67,MozambiqueMOZ,7,38,5
67,68,GibraltarGIB,11,25,2
68,69,EstoniaEST,6,0,0
69,70,SerbiaSER,5,0,0
70,71,LesothoLES,6,0,0
71,72,EswatiniSWA,6,0,0
